wave,epsilon,s,f
S0,0.006,0.13299767333,0.00167563896609
S0,0.006,0.266001862131,0.00238273789713
S0,0.006,0.399006067519,0.00337232485992
S0,0.006,0.532001564602,0.00462591258216
S0,0.006,0.664997061685,0.00613250495566
S0,0.006,0.798009975379,0.00788815761049
S0,0.006,0.931005439287,0.00988894710177
S0,0.006,1.06400093637,0.0121376146096
S0,0.006,1.19699431029,0.0146372308837
S0,0.006,1.33000506764,0.0173912328615
S0,0.006,1.46300056472,0.0204085293788
S0,0.006,1.5959960618,0.0236961564799
S0,0.006,1.7290002506,0.0272666168759
S0,0.006,1.8620044394,0.0311334647611
S0,0.006,1.99499993649,0.035311609226
S0,0.006,2.12799556627,0.0398202385317
S0,0.006,2.26100831409,0.0446821662026
S0,0.006,2.39400381117,0.0499218954595
S0,0.006,2.52699930826,0.0555690927773
S0,0.006,2.65999480534,0.0616612819827
S0,0.006,2.79300330682,0.06823859207
S0,0.006,2.92599880391,0.0753544917462
S0,0.006,3.05899430099,0.0830696688567
S0,0.006,3.19199855614,0.0914626289181
S0,0.006,3.32500281129,0.100633490397
S0,0.006,3.45799830837,0.110716291249
S0,0.006,3.59099380546,0.121901310703
S0,0.006,3.72399806061,0.134490928658
S0,0.006,3.85700231576,0.149088366917
S0,0.006,3.98999781284,0.168469390808
S0,0.004,0.13299767333,-0.00224297223528
S0,0.004,0.266001862131,-0.000554175081301
S0,0.004,0.399006067519,0.00132149313695
S0,0.004,0.532001564602,0.0033743859763
S0,0.004,0.664997061685,0.00559939772715
S0,0.004,0.798009975379,0.00799274095736
S0,0.004,0.931005439287,0.0105545726047
S0,0.004,1.06400093637,0.0132857715209
S0,0.004,1.19699431029,0.0161885609914
S0,0.004,1.33000506764,0.0192648295009
S0,0.004,1.46300056472,0.0225190288516
S0,0.004,1.5959960618,0.025956646635
S0,0.004,1.7290002506,0.0295831652115
S0,0.004,1.8620044394,0.0334068081216
S0,0.004,1.99499993649,0.0374337587144
S0,0.004,2.12799556627,0.0416749817106
S0,0.004,2.26100831409,0.0461424776202
S0,0.004,2.39400381117,0.0508472111638
S0,0.004,2.52699930826,0.0558049598213
S0,0.004,2.65999480534,0.061034577053
S0,0.004,2.79300330682,0.0665559521089
S0,0.004,2.92599880391,0.0723935882101
S0,0.004,3.05899430099,0.0785793751167
S0,0.004,3.19199855614,0.0851494817592
S0,0.004,3.32500281129,0.0921561893486
S0,0.004,3.45799830837,0.0996637796059
S0,0.004,3.59099380546,0.107772703183
S0,0.004,3.72399806061,0.116643580681
S0,0.004,3.85700231576,0.126623192317
S0,0.004,3.98999781284,0.139476280058
S0,0.002,0.13299767333,-0.00602685757054
S0,0.002,0.266001862131,-0.00334622401204
S0,0.002,0.399006067519,-0.000564784076271
S0,0.002,0.532001564602,0.00231056743627
S0,0.002,0.664997061685,0.00527267416212
S0,0.002,0.798009975379,0.00832151517624
S0,0.002,0.931005439287,0.011455709426
S0,0.002,1.06400093637,0.014673917709
S0,0.002,1.19699431029,0.0179778244907
S0,0.002,1.33000506764,0.0213672728335
S0,0.002,1.46300056472,0.0248444860227
S0,0.002,1.5959960618,0.0284101493535
S0,0.002,1.7290002506,0.0320675219006
S0,0.002,1.8620044394,0.0358186595492
S0,0.002,1.99499993649,0.0396675066692
S0,0.002,2.12799556627,0.0436168044409
S0,0.002,2.26100831409,0.0476718678241
S0,0.002,2.39400381117,0.0518381791792
S0,0.002,2.52699930826,0.056121571361
S0,0.002,2.65999480534,0.0605295826149
S0,0.002,2.79300330682,0.0650707869757
S0,0.002,2.92599880391,0.069758037649
S0,0.002,3.05899430099,0.0746026498497
S0,0.002,3.19199855614,0.0796238275328
S0,0.002,3.32500281129,0.0848469266147
S0,0.002,3.45799830837,0.0903035020549
S0,0.002,3.59099380546,0.0960480583496
S0,0.002,3.72399806061,0.102172137315
S0,0.002,3.85700231576,0.108887607591
S0,0.002,3.98999781284,0.117376051222
S2,0.006,0.133000329779,0.0293122668764
S2,0.006,0.266000198846,0.0264996249918
S2,0.006,0.398997865242,0.0238472492607
S2,0.006,0.531995531637,0.0213303914092
S2,0.006,0.665004228204,0.018932110601
S2,0.006,0.797995269772,0.0166397581705
S2,0.006,0.93100393271,0.0144430478456
S2,0.006,1.06400378496,0.0123337863592
S2,0.006,1.19699933276,0.0103043830014
S2,0.006,1.32999918501,0.00834955826345
S2,0.006,1.46299903726,0.006463482111
S2,0.006,1.59599888952,0.00464164459651
S2,0.006,1.72899874177,0.00288014168654
S2,0.006,1.86199644179,0.00117517676732
S2,0.006,1.99499414182,-0.00047644086089
S2,0.006,2.12799392681,-0.00207767698789
S2,0.006,2.26099384632,-0.00363095526986
S2,0.006,2.39400250926,-0.0051386943277
S2,0.006,2.52699355083,-0.0066033127823
S2,0.006,2.66000006154,-0.00802635479133
S2,0.006,2.79299769431,-0.00940968677148
S2,0.006,2.92599761382,-0.0107546279705
S2,0.006,3.05899753333,-0.0120625563813
S2,0.006,3.19199745284,-0.0133348449614
S2,0.006,3.32499723783,-0.0145716598757
S2,0.006,3.4579948706,-0.0157739343324
S2,0.006,3.59099250337,-0.0169411211627
S2,0.006,3.72399242288,-0.0180720085385
S2,0.006,3.85700108582,-0.0191617004728
S2,0.006,3.98999212738,-0.0201768146265
S2,0.004,0.133000329779,0.0279757944172
S2,0.004,0.266000198846,0.0255398949067
S2,0.004,0.398997865242,0.0231968878101
S2,0.004,0.531995531637,0.0209332995125
S2,0.004,0.665004228204,0.0187402741856
S2,0.004,0.797995269772,0.0166113783986
S2,0.004,0.93100393271,0.0145414409017
S2,0.004,1.06400378496,0.0125258426492
S2,0.004,1.19699933276,0.0105615028788
S2,0.004,1.32999918501,0.00864512263185
S2,0.004,1.46299903726,0.00677416999329
S2,0.004,1.59599888952,0.0049460635343
S2,0.004,1.72899874177,0.00315882018716
S2,0.004,1.86199644179,0.00141068095486
S2,0.004,1.99499414182,-0.00030033303423
S2,0.004,2.12799392681,-0.00197516002375
S2,0.004,2.26099384632,-0.00361566643039
S2,0.004,2.39400250926,-0.00522295162726
S2,0.004,2.52699355083,-0.00679768027354
S2,0.004,2.66000006154,-0.00834105916203
S2,0.004,2.79299769431,-0.00985418766586
S2,0.004,2.92599761382,-0.0113372856597
S2,0.004,3.05899753333,-0.0127910715124
S2,0.004,3.19199745284,-0.0142157063537
S2,0.004,3.32499723783,-0.0156112489285
S2,0.004,3.4579948706,-0.0169772007426
S2,0.004,3.59099250337,-0.0183131220467
S2,0.004,3.72399242288,-0.0196156073016
S2,0.004,3.85700108582,-0.020878709822
S2,0.004,3.98999212738,-0.0220614070448
S2,0.002,0.133000329779,0.0270827228498
S2,0.002,0.266000198846,0.024900587611
S2,0.002,0.398997865242,0.0227712512356
S2,0.002,0.531995531637,0.020686465068
S2,0.002,0.665004228204,0.0186411661174
S2,0.002,0.797995269772,0.0166320575233
S2,0.002,0.93100393271,0.0146563883351
S2,0.002,1.06400378496,0.0127118490301
S2,0.002,1.19699933276,0.0107970079056
S2,0.002,1.32999918501,0.00891010680365
S2,0.002,1.46299903726,0.00705015628857
S2,0.002,1.59599888952,0.0052161618892
S2,0.002,1.72899874177,0.00340714088346
S2,0.002,1.86199644179,0.00162231615722
