group,mode,epsilon,command,direction,target,lower,upper,gap,pointwise_tolerance_met,report,coefficients,source_snapshot,candidate_npz,input_coefficients,dual_input_candidate_npz
B2,pure,,boundary,"[1.0, 0.0]","[2.2348893985478413, -0.018873680775901167]",2.2348893985478404,2.236231782346892,0.0013423837990513834,False,results/runs/stage_B_pv_pure_M50_barrier_20260907/report.json,results/runs/stage_B_pv_pure_M50_barrier_20260907/coefficients.json,results/runs/stage_B_pv_pure_M50_barrier_20260907/source.json,results/runs/stage_B_pv_pure_M50_barrier_20260907/candidate.npz,results/runs/stage_B_recover_pure_M50_raw_20260907/coefficients.json,
B2,pure,,boundary,"[-1.0, 0.0]","[-0.5303702845458692, -0.06994807134376296]",0.530370284545869,12478.643305110298,12478.112934825753,False,results/runs/stage_B2_PV_B377500_region_20260907/support_001_minus_x/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_001_minus_x/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_001_minus_x/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_001_minus_x/candidate.npz,results/runs/stage_B_pv_pure_M50_barrier_20260907/coefficients.json,
B2,pure,,boundary,"[0.0, 1.0]","[-1.0490616604265806, 0.0772546023077756]",0.07725460230777557,0.09423059470046934,0.016975992392693765,False,results/runs/stage_B2_PV_B377500_region_20260907/support_002_plus_y/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_002_plus_y/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_002_plus_y/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_002_plus_y/candidate.npz,results/runs/stage_B_pv_pure_M50_barrier_20260907/coefficients.json,
B2,pure,,boundary,"[0.0, -1.0]","[-0.12381826752021925, -0.7341874510146442]",0.734187451014644,0.7346134547155557,0.00042600370091172573,True,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/candidate.npz,,
B2,pure,,boundary,"[-1.0, 0.0]","[-2.9025173125294828, -0.4481796607393603]",2.902517312529482,2.918466830202308,0.015949517672825934,False,results/runs/stage_B2_PV_B377500_region_20260907/support_004_minus_x_cold/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_004_minus_x_cold/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_004_minus_x_cold/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_004_minus_x_cold/candidate.npz,,
B2,pure,,boundary,"[0.0, 1.0]","[-1.0851087243125586, 0.07946458317167251]",0.07946458317167249,0.0798697416568516,0.00040515848517910796,True,results/runs/stage_B2_PV_B377500_region_20260907/support_005_plus_y_refine/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_005_plus_y_refine/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_005_plus_y_refine/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_005_plus_y_refine/candidate.npz,results/runs/stage_B2_PV_B377500_region_20260907/support_002_plus_y/coefficients.json,
B2,pure,,boundary,"[0.29021320288767954, -0.9569620143295524]","[1.6999673144488805, -0.5676081759121536]",1.0365324225013937,1.0369456633693033,0.0004132408679096145,True,results/runs/stage_B2_PV_B377500_region_20260907/support_006_adaptive/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_006_adaptive/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_006_adaptive/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_006_adaptive/candidate.npz,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/coefficients.json,
B2,pure,,boundary,"[-0.2788148209138379, 0.9603448836948029]","[-2.526567495128275, 0.03284801959700548]",0.7359898912404046,0.7515359978219088,0.01554610658150424,False,results/runs/stage_B2_PV_B377500_region_20260907/support_007_adaptive/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_007_adaptive/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_007_adaptive/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_007_adaptive/candidate.npz,results/runs/stage_B2_PV_B377500_region_20260907/support_005_plus_y_refine/coefficients.json,
B2,pure,,boundary,"[-0.1023877327794028, -0.9947445662964406]","[-2.292294731382802, -0.668112617315334]",0.8993042561569767,0.8997685798413849,0.00046432368440818555,True,results/runs/stage_B2_PV_B377500_region_20260907/support_008_adaptive/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_008_adaptive/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_008_adaptive/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_008_adaptive/candidate.npz,results/runs/stage_B2_PV_B377500_region_20260907/support_003_minus_y/coefficients.json,
B2,pure,,boundary,"[0.7160614807703349, -0.6980372165987967]","[2.090570877883346, -0.3569036667347004]",1.7461093205938822,1.7465411140858653,0.0004317934919830791,True,results/runs/stage_B2_PV_B377500_region_20260907/support_009_adaptive/report.json,results/runs/stage_B2_PV_B377500_region_20260907/support_009_adaptive/coefficients.json,results/runs/stage_B2_PV_B377500_region_20260907/support_009_adaptive/source.json,results/runs/stage_B2_PV_B377500_region_20260907/support_009_adaptive/candidate.npz,results/runs/stage_B2_PV_B377500_region_20260907/support_006_adaptive/coefficients.json,
