drawing_index,epsilon,color,role,x,y,pdf_x,pdf_y,pdf_marker_radius
0,0.006,blue,boundary_sample,0.002744424854487674,0.001759011304530197,79.79499816894531,60.611000061035156,2.3769989013671875
1,0.006,blue,boundary_sample,0.0054876037205907275,0.0015900103564754132,93.85700225830078,67.17399978637695,2.3769989013671875
2,0.006,blue,boundary_sample,0.00823136675318454,0.0014200308351020507,107.92200088500977,73.7750015258789,2.3790016174316406
3,0.006,blue,boundary_sample,0.010974934815561055,0.0012500256755399563,121.98600006103516,80.37699890136719,2.3769989013671875
4,0.006,blue,boundary_sample,0.013719087044428329,0.0010800332859569237,136.05299377441406,86.97850036621094,2.3769989013671875
5,0.006,blue,boundary_sample,0.01646226739885365,0.0009070281636213512,150.11500549316406,93.6969985961914,2.3769989013671875
6,0.006,blue,boundary_sample,0.019206419627720926,0.0007350143845834191,164.18199920654297,100.37699890136719,2.3770065307617188
7,0.006,blue,boundary_sample,0.021950378374693172,0.0005619962958075683,178.2480010986328,107.09600067138672,2.3769989013671875
8,0.006,blue,boundary_sample,0.02469443386261293,0.0003879868637340769,192.3144989013672,113.85350036621094,2.376495361328125
9,0.006,blue,boundary_sample,0.027437319529228902,0.00021397743166058552,206.375,120.61100006103516,2.378997802734375
10,0.006,blue,boundary_sample,0.030180985076714066,3.905376731686625e-05,220.4394989013672,127.40400314331055,2.376495361328125
11,0.006,blue,boundary_sample,0.03292504056463383,-0.00013597284270421402,234.50599670410156,134.2010040283203,2.3769989013671875
12,0.006,blue,boundary_sample,0.03566900079992834,-0.000336003169959213,248.57200622558594,141.96900177001953,2.3769989013671875
13,0.006,blue,boundary_sample,0.03841237165960415,-0.0004899916323981529,262.63499450683594,147.94900512695312,2.3769989013671875
14,0.006,blue,boundary_sample,0.041156331894898666,-0.000666975290825782,276.7010040283203,154.82200622558594,2.3769989013671875
15,0.006,blue,boundary_sample,0.043900482635443674,-0.0008500101511778314,290.7679901123047,161.93000030517578,2.3769989013671875
16,0.006,blue,boundary_sample,0.0466432730494344,-0.0010239810768529207,304.8280029296875,168.68600463867188,2.378997802734375
