wave,role,energy_gev,delta_deg
S0,phenomenology,0.2791406,0.0033
S0,phenomenology,0.2793305,0.4861
S0,phenomenology,0.2795222,0.6890
S0,phenomenology,0.2797121,0.8461
S0,phenomenology,0.2799021,0.9772
S0,phenomenology,0.2800937,1.0947
S0,phenomenology,0.2802837,1.2012
S0,phenomenology,0.2806636,1.3904
S0,phenomenology,0.2808552,1.4758
S0,phenomenology,0.2810452,1.5584
S0,phenomenology,0.2814268,1.7107
S0,phenomenology,0.2821883,1.9880
S0,phenomenology,0.2823783,2.0522
S0,phenomenology,0.2825682,2.1137
S0,phenomenology,0.2829498,2.2339
S0,phenomenology,0.2837114,2.4607
S0,phenomenology,0.2852344,2.8711
S0,phenomenology,0.2859959,3.0631
S0,phenomenology,0.2867574,3.2447
S0,phenomenology,0.2882822,3.5917
S0,phenomenology,0.2913282,4.2371
S0,phenomenology,0.2915317,4.2774
S0,phenomenology,0.2917351,4.3198
S0,phenomenology,0.2921486,4.4024
S0,phenomenology,0.2929774,4.5656
S0,phenomenology,0.2946315,4.8825
S0,phenomenology,0.2979281,5.4993
S0,phenomenology,0.3045346,6.6706
S0,phenomenology,0.3168736,8.7756
S0,phenomenology,0.3289688,10.8218
S0,phenomenology,0.3420895,13.0784
S0,phenomenology,0.3543293,15.2400
S0,phenomenology,0.3675996,17.6571
S0,phenomenology,0.3806278,20.1084
S0,phenomenology,0.3927768,22.4674
S0,phenomenology,0.4059563,25.1003
S0,phenomenology,0.4182550,27.6212
S0,phenomenology,0.4303115,30.1456
S0,phenomenology,0.4433986,32.9308
S0,phenomenology,0.4556064,35.5664
S0,phenomenology,0.4688380,38.4507
S0,phenomenology,0.4818326,41.2892
S0,phenomenology,0.4939480,43.9358
S0,phenomenology,0.5070889,46.7852
S0,phenomenology,0.5193555,49.4181
S0,phenomenology,0.5326460,52.2252
S0,phenomenology,0.5456944,54.9223
S0,phenomenology,0.5578686,57.3797
S0,phenomenology,0.5710666,59.9675
S0,phenomenology,0.5833871,62.3074
S0,phenomenology,0.5954689,64.5271
S0,phenomenology,0.6085761,66.8452
S0,phenomenology,0.6208024,68.9235
S0,phenomenology,0.6340610,71.0845
S0,phenomenology,0.6470757,73.1096
S0,phenomenology,0.6592113,74.9181
S0,phenomenology,0.6723706,76.7915
S0,phenomenology,0.6846642,78.4587
S0,phenomenology,0.6967073,80.0193
S0,phenomenology,0.7097742,81.6360
S0,phenomenology,0.7219753,83.0743
S0,phenomenology,0.7351935,84.5605
S0,phenomenology,0.7475392,85.8807
S0,phenomenology,0.7596411,87.1217
S0,phenomenology,0.7727685,88.4051
S0,phenomenology,0.7850218,89.5491
S0,phenomenology,0.7982988,90.7340
S0,phenomenology,0.8113337,91.8466
S0,phenomenology,0.8234894,92.8417
S0,phenomenology,0.8366740,93.8765
S0,phenomenology,0.8489878,94.8053
S0,phenomenology,0.8610494,95.6830
S0,phenomenology,0.8741448,96.6009
S0,phenomenology,0.8863644,97.4328
S0,phenomenology,0.8867847,97.4594
S0,phenomenology,0.8872117,97.4888
S0,phenomenology,0.8880657,97.5448
S0,phenomenology,0.8897720,97.6595
S0,phenomenology,0.8931811,97.8836
S0,phenomenology,0.8933913,97.8999
S0,phenomenology,0.8936081,97.9129
S0,phenomenology,0.8940351,97.9396
S0,phenomenology,0.8948874,97.9956
S0,phenomenology,0.8965886,98.1083
S0,phenomenology,0.8968055,98.1212
S0,phenomenology,0.8970156,98.1376
S0,phenomenology,0.8974426,98.1643
S0,phenomenology,0.8982966,98.2203
S0,phenomenology,0.8985067,98.2332
S0,phenomenology,0.8987236,98.2469
S0,phenomenology,0.8991506,98.2763
S0,phenomenology,0.8995708,98.3029
S0,phenomenology,0.8997860,98.3159
S0,phenomenology,0.8999962,98.3295
S0,experiment,0.5499979,43.0007
S0,experiment,0.6249992,56.0000
S0,experiment,0.6650000,62.0004
S0,experiment,0.6899990,68.0005
S0,experiment,0.7100011,68.9997
S0,experiment,0.7299999,72.0011
S0,experiment,0.7450008,74.0009
S0,experiment,0.7549989,76.0003
S0,experiment,0.7650003,77.0005
S0,experiment,0.7749976,79.0003
S0,experiment,0.7849982,79.9995
S0,experiment,0.7949997,81.0001
S0,experiment,0.8099973,83.0009
S0,experiment,0.8300002,85.9996
S0,experiment,0.8499981,88.0007
S0,experiment,0.8699976,91.0004
S0,experiment,0.8899989,94.0008
S0,experiment,0.9100010,99.0002
S0,experiment,0.9350008,108.9999
S0,experiment,0.9650002,134.0006
S0,experiment,1.0000007,193.9997
S0,experiment,1.0400015,215.0002
S0,experiment,1.0750012,215.0002
S0,experiment,1.1049980,213.0004
S0,experiment,1.1349998,210.0007
S0,experiment,1.1499982,208.0009
S0,paper_bootstrap,0.2791733,0.1703
S0,paper_bootstrap,0.2794490,0.5063
S0,paper_bootstrap,0.2800038,0.8478
S0,paper_bootstrap,0.2808351,1.1968
S0,paper_bootstrap,0.2819521,1.5533
S0,paper_bootstrap,0.2833592,1.9255
S0,paper_bootstrap,0.2850604,2.3094
S0,paper_bootstrap,0.2870701,2.7178
S0,paper_bootstrap,0.2893942,3.1460
S0,paper_bootstrap,0.2920469,3.6009
S0,paper_bootstrap,0.2950493,4.0947
S0,paper_bootstrap,0.2984047,4.6145
S0,paper_bootstrap,0.3021366,5.2018
S0,paper_bootstrap,0.3062737,5.8049
S0,paper_bootstrap,0.3108344,6.5207
S0,paper_bootstrap,0.3158524,7.2371
S0,paper_bootstrap,0.3213545,8.1312
S0,paper_bootstrap,0.3273828,9.0020
S0,paper_bootstrap,0.3339759,10.1398
S0,paper_bootstrap,0.3411859,11.2285
S0,paper_bootstrap,0.3490592,12.6956
S0,paper_bootstrap,0.3576746,14.0991
S0,paper_bootstrap,0.3670911,16.0149
S0,paper_bootstrap,0.3774010,17.8740
S0,paper_bootstrap,0.3887053,20.4058
S0,paper_bootstrap,0.4011124,22.9219
